date,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2023-06-09,,,39.48678571428571,104.28214285714286,16.565714285714286,,0.8,,1.3,,9.6,213.65714285714284,18.655714285714286,1004.7489285714286,
2023-06-10,,,43.36866197183099,96.71478873239437,17.051943462897526,,0.8,,1.4,,7.1,184.55087719298245,19.903859649122808,1007.1108771929823,
2023-06-11,,,50.38647686832741,50.98220640569395,17.488967971530247,,1.1,,1.7,,6.5,139.83629893238435,19.585053380782917,1006.4035587188613,
2023-06-12,,,51.159498207885306,40.54480286738351,18.31111111111111,,0.7,,1.2,,6.1,130.34767025089604,19.97132616487455,1006.148028673835,
2023-06-13,,,51.33639575971732,45.27208480565371,19.469611307420493,,0.5,,1.0,,6.0,207.95759717314488,21.000706713780918,1004.7303886925796,
2023-06-14,,,41.56398601398601,74.0,18.678321678321677,,0.6,,0.9,,7.2,103.02797202797203,20.41048951048951,1005.9664335664337,
2023-06-15,,,54.6475352112676,57.683098591549296,19.909154929577465,,0.6,,0.9,,4.1,186.34154929577466,20.320422535211268,1008.8771126760563,
2023-06-16,,,50.34361702127659,96.29432624113475,19.120921985815603,,0.9,,1.6,,8.0,219.22340425531914,20.881560283687943,1012.4709219858156,
2023-06-17,,,50.696140350877194,100.62456140350878,18.1940350877193,,0.9,,1.4,,10.3,213.98947368421054,20.606315789473683,1012.3101754385966,
2023-06-18,,,45.88772563176895,121.38989169675091,17.508333333333333,,0.7,,1.0,,7.4,207.30935251798562,20.603956834532372,1007.5082733812949,
2023-06-19,,,50.138297872340424,128.86524822695034,19.150354609929078,,1.4,,2.2,,11.1,55.748226950354606,20.951418439716313,1007.7063829787235,
2023-06-20,,,48.58085106382978,96.60992907801419,21.21985815602837,,1.7,,2.7,,9.1,27.95390070921986,21.351063829787233,1007.1117021276596,
2023-06-21,,,60.333333333333336,89.51612903225806,20.702877697841725,,2.3,,3.5,,9.3,186.77857142857144,20.88,1002.7907142857143,
2023-06-22,,,56.208270676691725,98.04887218045113,19.99132075471698,,1.1,,1.7,,6.2,151.03676470588235,21.220588235294116,1003.2613970588235,
2023-06-23,,,51.25198555956678,80.31407942238268,19.761371841155235,,1.1,,1.8,,5.1,112.60071942446044,21.433093525179856,1009.8456834532374,
2023-06-24,,,10.6,113.0,19.3,,0.7,,0.9,,1.9,356.0,20.1,1014.0,
2023-06-25,,,57.36654545454545,70.59272727272727,20.945818181818183,,0.7,,1.0,,4.9,189.47272727272727,21.45781818181818,1014.5410909090908,
2023-06-26,,,53.356737588652486,49.4822695035461,19.99078014184397,,1.3,,2.1,,11.0,217.14893617021278,21.997517730496455,1010.5617021276596,
2023-06-27,,,60.51560283687944,45.265957446808514,18.537943262411346,,1.8,,2.4,,11.7,219.60638297872342,21.48262411347518,1010.5106382978723,
2023-06-28,,,61.89572953736655,43.362989323843415,18.636298932384342,,0.8,,1.4,,10.2,223.82562277580072,21.008896797153024,1009.9259786476869,
2023-06-29,,,74.54964539007092,43.812056737588655,18.612056737588652,,1.7,,2.7,,11.4,217.99290780141843,21.668439716312058,1004.9592198581561,
2023-06-30,,,60.54718309859155,50.90845070422535,17.903521126760566,,1.7,,2.4,,10.4,175.84859154929578,20.634154929577466,1002.0348591549297,
2023-07-01,,,57.91205673758866,67.85106382978724,18.648226950354612,,1.3,,2.1,,6.0,103.82042253521126,21.014788732394365,1006.6380281690141,
2023-07-02,,,70.71870503597123,69.87050359712231,19.525539568345327,,1.4,,2.0,,9.0,213.76344086021504,21.975268817204302,1008.5290322580644,
2023-07-03,,,66.5193661971831,87.05281690140845,19.525704225352115,,1.1,,1.8,,5.9,101.80633802816901,21.865845070422534,1007.3151408450705,
2023-07-04,,,67.78833922261484,96.13427561837456,19.83745583038869,,0.9,,1.3,,3.5,169.70318021201413,22.350883392226148,1004.0349823321556,
2023-07-05,,,77.45195729537366,85.83985765124555,19.427046263345197,,1.3,,2.0,,11.6,216.95035460992906,22.178014184397163,996.4992907801418,
2023-07-06,,,57.79893617021276,117.41843971631205,17.414893617021278,,1.2,,2.0,,11.0,212.71985815602838,20.867375886524822,1003.1308510638298,
2023-07-07,,,52.861702127659576,101.83333333333333,17.00212765957447,,1.4,,2.0,,8.6,147.39361702127658,20.358865248226948,1004.2939716312057,
2023-07-08,,,61.00960854092527,74.99288256227759,18.369395017793593,,1.4,,2.1,,4.7,120.32978723404256,20.30354609929078,1003.9989361702128,
2023-07-09,,,61.86901408450704,48.25704225352113,19.041549295774647,,1.6,,2.1,,8.8,201.19718309859155,21.583098591549298,1004.9616197183097,
2023-07-10,,,55.6,53.767605633802816,18.104577464788733,,1.3,,2.0,,9.4,217.45774647887325,21.91056338028169,1006.0795774647886,
2023-07-11,,,57.166784452296824,44.28975265017668,17.82756183745583,,1.3,,2.2,,11.6,211.91519434628975,21.598939929328623,1007.7893992932864,
2023-07-12,,,61.86099290780142,41.87234042553192,17.209608540925267,,1.0,,1.5,,9.3,221.4113475177305,21.729787234042554,1006.7354609929079,
2023-07-13,,,57.81428571428572,45.21785714285714,17.292142857142856,,1.0,,1.5,,10.5,222.63120567375887,21.54964539007092,1007.1737588652483,
2023-07-14,,,73.17762237762237,43.30769230769231,16.68982456140351,,1.6,,2.7,,13.5,213.4090909090909,21.363986013986015,1004.0716783216783,
2023-07-15,,,62.70282685512368,42.67137809187279,15.78339222614841,,1.6,,2.6,,12.1,217.40282685512366,20.97279151943463,1004.0826855123676,
2023-07-16,,,50.261428571428574,64.18214285714286,15.599285714285715,,1.1,,2.0,,8.0,211.26071428571427,21.236785714285716,1009.1742857142857,
2023-07-17,,,50.294326241134755,92.46808510638297,15.957446808510639,,1.0,,1.6,,7.0,225.3404255319149,21.825531914893617,1013.1609929078015,
2023-07-18,,,53.218374558303886,97.46643109540636,16.924734982332154,,1.5,,2.3,,12.2,188.1338028169014,22.197183098591548,1011.4063380281691,
2023-07-19,,,50.551760563380284,102.87323943661971,17.546126760563382,,1.5,,2.5,,5.8,64.90845070422536,21.16056338028169,1007.9394366197183,
2023-07-20,,,56.65017793594306,87.64056939501779,17.713167259786477,,0.8,,1.5,,2.3,219.16725978647688,22.16405693950178,1009.7427046263346,
2023-07-21,,,63.00883392226148,78.74204946996467,18.302826855123673,,0.6,,0.9,,5.5,53.78445229681979,21.91696113074205,1013.4763250883392,
2023-07-22,,,60.81619718309859,86.2394366197183,19.368661971830985,,0.7,,1.2,,4.1,102.9894366197183,23.049647887323946,1015.1644366197183,
2023-07-23,,,31.13,134.09285714285716,18.239784946236558,,1.2,,2.0,,6.8,228.90714285714284,23.357142857142858,1011.7089285714286,
2023-07-24,,,28.810211267605634,100.02464788732394,16.732042253521126,,1.2,,1.7,,11.6,224.40845070422534,22.51161971830986,1010.6999999999999,
2023-07-25,,,13.0,266.0,15.3,,0.6,,0.8,,3.8,212.0,22.3,1012.0,
2023-07-26,,,51.78480565371025,69.79151943462898,18.824734982332153,,0.5,,0.8,,5.3,215.20494699646642,25.142049469964665,1015.7784452296819,
2023-07-27,,,35.932857142857145,90.67857142857143,17.781428571428574,,0.7,,1.0,,5.1,202.84697508896798,25.59608540925267,1014.92384341637,
2023-07-28,,,39.53333333333333,77.37275985663082,19.080645161290324,,0.8,,1.1,,4.0,193.96785714285716,26.63142857142857,1014.6667857142858,
2023-07-29,,,52.982608695652175,67.28623188405797,20.957608695652176,,1.1,,1.5,,3.8,231.89169675090253,27.094945848375453,1015.0057761732851,
2023-07-30,,,53.2,87.25714285714285,20.596785714285716,,0.8,,1.2,,3.7,229.3607142857143,26.859642857142855,1014.0303571428572,
2023-07-31,,,61.2202846975089,104.81138790035587,20.691428571428574,,0.6,,0.9,,3.0,222.97879858657245,26.435689045936396,1012.9310954063604,
2023-08-01,,,66.05166051660517,60.6309963099631,22.53962962962963,,0.6,,1.0,,4.4,135.41454545454545,25.996363636363636,1011.4643636363637,
2023-08-02,,,72.98812949640288,62.37410071942446,25.752158273381298,,0.8,,1.4,,5.4,205.81720430107526,28.12437275985663,1008.5537634408602,
