date,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day
2016-09-21,,43093
2016-09-22,,41126
2016-09-23,,41764
2016-09-24,,42816
2016-09-25,,41280
2016-09-26,,40653
2016-09-27,,42510
2016-09-28,,44829
2016-09-29,,50828
2016-09-30,,50238
2016-10-01,,47416
2016-10-02,,44579
2016-10-03,,43849
2016-10-04,,42046
2016-10-05,,55242
2016-10-06,,51938
2016-10-07,,43925
2016-10-08,,56342
2016-10-09,,48053
2016-10-10,,43088
2016-10-11,,42271
2016-10-12,,41203
2016-10-13,,39999
2016-10-14,,40400
2016-10-15,,41077
2016-10-16,,44106
2016-10-17,,49041
2016-10-18,,43216
2016-10-19,,42191
2016-10-20,,40882
2016-10-21,,40049
2016-10-22,,41569
2016-10-23,,42337
2016-10-24,,41833
2016-10-25,,40121
2016-10-26,,39955
2016-10-27,,38787
2016-10-28,,41911
2016-10-29,,41874
2016-10-30,,41747
2016-10-31,,39439
2016-11-01,,39793
2016-11-02,,39728
2016-11-03,,39012
2016-11-04,,38716
2016-11-05,,40070
2016-11-06,,39017
2016-11-07,,39901
2016-11-08,,37589
2016-11-09,,38513
2016-11-10,,39888
2016-11-11,,38602
2016-11-12,,39271
2016-11-13,,38191
2016-11-14,,40627
2016-11-15,,38042
2016-11-16,,38030
2016-11-17,,37446
2016-11-18,,41099
2016-11-19,,44483
2016-11-20,,40684
2016-11-21,,38397
2016-11-22,,37585
2016-11-23,,38792
2016-11-24,,36969
2016-11-25,,38195
2016-11-26,,38327
2016-11-27,,39043
2016-11-28,,38889
2016-11-29,,37910
2016-11-30,,38218
2016-12-01,,38457
2016-12-02,,37721
2016-12-03,,38920
2016-12-04,,39337
2016-12-05,,39046
2016-12-06,,37836
2016-12-07,,38171
2016-12-08,,37020
2016-12-09,,36959
2016-12-10,,38631
2016-12-11,,39019
2016-12-12,,37765
2016-12-13,,37627
2016-12-14,,37642
2016-12-15,,37839
2016-12-16,,37762
2016-12-17,,39367
2016-12-18,,39230
2016-12-19,,41545
2016-12-20,,40290
2016-12-21,,40079
2016-12-22,,56749
2016-12-23,,41566
2016-12-24,,40798
2016-12-25,,40631
2016-12-26,,45586
2016-12-27,,46941
2016-12-28,,40534
2016-12-29,,40070
2016-12-30,,39607
2016-12-31,,40756
2017-01-01,,40382
2017-01-02,,39720
2017-01-03,,38625
2017-01-04,,37093
2017-01-05,,37134
2017-01-06,,37175
2017-01-07,,37743
2017-01-08,,41084
2017-01-09,,36746
2017-01-10,,35758
2017-01-11,,35967
2017-01-12,,36287
2017-01-13,,36208
2017-01-14,,36618
2017-01-15,,38060
2017-01-16,,37081
2017-01-17,,37049
2017-01-18,,36659
2017-01-19,,36578
2017-01-20,,36299
2017-01-21,,37716
2017-01-22,,38611
2017-01-23,,37306
2017-01-24,,37906
2017-01-25,,38884
2017-01-26,,40385
2017-01-27,,43437
2017-01-28,,34377
2017-01-29,,36325
2017-01-30,,40010
2017-01-31,,37911
2017-02-01,,37610
2017-02-02,,36975
2017-02-03,,36490
2017-02-04,,37218
2017-02-05,,37134
2017-02-06,,37260
2017-02-07,,36110
2017-02-08,,37069
2017-02-09,,36146
2017-02-10,,36990
2017-02-11,,37005
2017-02-12,,38238
2017-02-13,,36830
2017-02-14,,36170
2017-02-15,,36626
2017-02-16,,37193
2017-02-17,,36530
2017-02-18,,35668
2017-02-19,,36699
2017-02-20,,34030
2017-02-21,,34133
2017-02-22,,38848
2017-02-23,,36650
2017-02-24,,34192
2017-02-25,,35723
2017-02-26,,35806
2017-02-27,,34199
2017-02-28,,34778
2017-03-01,,36631
2017-03-02,,35868
2017-03-03,,33915
2017-03-04,,35752
2017-03-05,,36621
2017-03-06,,36213
2017-03-07,,35586
2017-03-08,,35836
2017-03-09,,35772
2017-03-10,,35409
2017-03-11,,37318
2017-03-12,,38464
2017-03-13,,37047
2017-03-14,,35177
2017-03-15,,35866
2017-03-16,,34963
2017-03-17,,35523
2017-03-18,,36820
2017-03-19,,38515
2017-03-20,,36398
2017-03-21,,38264
2017-03-22,,35890
2017-03-23,,35685
2017-03-24,,35278
2017-03-25,,37851
2017-03-26,,39042
2017-03-27,,36634
2017-03-28,,35227
2017-03-29,,34464
2017-03-30,,36233
2017-03-31,,34345
2017-04-01,,38266
2017-04-02,,38881
2017-04-03,,37048
2017-04-04,,36174
2017-04-05,,38824
2017-04-06,,44005
2017-04-07,,36738
2017-04-08,,35212
2017-04-09,,34625
2017-04-10,,33487
2017-04-11,,39291
2017-04-12,,34077
2017-04-13,,32940
2017-04-14,,32379
2017-04-15,,34470
2017-04-16,,35422
2017-04-17,,41580
2017-04-18,,40285
2017-04-19,,35541
2017-04-20,,34054
2017-04-21,,33949
2017-04-22,,35669
2017-04-23,,35854
2017-04-24,,34281
2017-04-25,,32788
2017-04-26,,34338
2017-04-27,,34553
2017-04-28,,33423
2017-04-29,,35320
2017-04-30,,35351
2017-05-01,,35314
2017-05-02,,33228
2017-05-03,,33249
2017-05-04,,34512
2017-05-05,,36000
2017-05-06,,36544
2017-05-07,,36310
2017-05-08,,33228
2017-05-09,,39451
2017-05-10,,34866
2017-05-11,,34471
2017-05-12,,38600
2017-05-13,,37665
2017-05-14,,37428
2017-05-15,,35830
2017-05-16,,34808
2017-05-17,,35059
2017-05-18,,33107
2017-05-19,,33990
2017-05-20,,34622
2017-05-21,,35373
2017-05-22,,34903
2017-05-23,,33112
2017-05-24,,33772
2017-05-25,,33925
2017-05-26,,32894
2017-05-27,,34088
2017-05-28,,35024
2017-05-29,,33633
2017-05-30,,34047
2017-05-31,,30705
2017-06-01,,34145
2017-06-02,,33169
2017-06-03,,34387
2017-06-04,,35003
2017-06-05,,33479
2017-06-06,,33037
2017-06-07,,38050
2017-06-08,,35041
2017-06-09,,33874
2017-06-10,,34904
