date,solar_radiation_sum
2020-12-01,11.2248
2020-12-02,6.1632
2020-12-03,11.2428
2020-12-04,11.3004
2020-12-05,11.177999999999999
2020-12-06,11.303999999999998
2020-12-07,8.2548
2020-12-08,11.0052
2020-12-09,11.2572
2020-12-10,3.6972
2020-12-11,9.1944
2020-12-12,10.3212
2020-12-13,9.6048
2020-12-14,10.8576
2020-12-15,11.581199999999999
2020-12-16,11.3724
2020-12-17,11.3796
2020-12-18,7.4808
2020-12-19,11.592
2020-12-20,11.033999999999999
2020-12-21,10.9476
2020-12-22,10.548
2020-12-23,7.7112
2020-12-24,9.3564
2020-12-25,10.3896
2020-12-26,10.4436
2020-12-27,5.3172
2020-12-28,10.854
2020-12-29,7.938
2020-12-30,10.969199999999999
2020-12-31,11.5956
2021-01-01,9.1656
2021-01-02,10.62
2021-01-03,10.8972
2021-01-04,11.411999999999999
2021-01-05,8.604
2021-01-06,11.484
2021-01-07,11.9736
2021-01-08,12.2112
2021-01-09,12.078
2021-01-10,11.865599999999999
2021-01-11,6.984
2021-01-12,12.06
2021-01-13,11.7
2021-01-14,12.1428
2021-01-15,9.7812
2021-01-16,12.2688
2021-01-17,12.798
2021-01-18,10.994399999999999
2021-01-19,12.834
2021-01-20,12.358799999999999
2021-01-21,9.5292
2021-01-22,2.0088
2021-01-23,3.6792
2021-01-24,8.064
2021-01-25,9.2304
2021-01-26,1.3068
2021-01-27,13.179599999999999
2021-01-28,12.474
2021-01-29,14.1588
2021-01-30,13.532399999999999
2021-01-31,13.3164
2021-02-01,2.6244
2021-02-02,14.9256
2021-02-03,14.7996
2021-02-04,14.867999999999999
2021-02-05,10.7712
2021-02-06,14.724
2021-02-07,14.184
2021-02-08,15.4656
2021-02-09,15.5124
2021-02-10,15.03
2021-02-11,12.258
2021-02-12,12.387599999999999
2021-02-13,15.5556
2021-02-14,6.5088
2021-02-15,15.105599999999999
2021-02-16,15.4368
2021-02-17,16.9668
2021-02-18,16.8732
2021-02-19,17.0424
2021-02-20,16.5852
2021-02-21,16.776
2021-02-22,15.7068
2021-02-23,16.880399999999998
2021-02-24,15.0372
2021-02-25,5.5656
2021-02-26,9.8676
2021-02-27,8.0316
2021-02-28,10.3932
2021-03-01,4.428
2021-03-02,10.4544
2021-03-03,15.767999999999999
2021-03-04,8.5212
2021-03-05,14.7816
2021-03-06,7.4448
2021-03-07,12.229199999999999
2021-03-08,14.2812
2021-03-09,13.8636
2021-03-10,19.9296
2021-03-11,15.3936
2021-03-12,2.7756
2021-03-13,17.917199999999998
2021-03-14,15.2244
2021-03-15,17.2404
2021-03-16,17.4852
2021-03-17,19.569599999999998
2021-03-18,19.5192
2021-03-19,16.0272
2021-03-20,3.1176
2021-03-21,18.7956
2021-03-22,21.8412
2021-03-23,22.086
2021-03-24,15.2028
2021-03-25,22.1004
2021-03-26,20.8404
2021-03-27,9.5184
2021-03-28,19.2384
2021-03-29,22.3668
2021-03-30,20.2428
2021-03-31,21.6468
2021-04-01,14.8248
2021-04-02,14.8644
2021-04-03,6.2604
2021-04-04,6.768
2021-04-05,22.654799999999998
2021-04-06,17.9784
2021-04-07,23.0076
2021-04-08,21.4128
2021-04-09,17.2512
2021-04-10,22.197599999999998
2021-04-11,24.1812
2021-04-12,3.6612
2021-04-13,18.99
2021-04-14,23.1048
2021-04-15,18.9864
2021-04-16,15.4332
2021-04-17,22.518
2021-04-18,21.3228
