date,suyeong_vol,nambu_vol
2016-04-04,356235,365210
2016-04-05,319232,342342
2016-04-06,327563,343009
2016-04-07,461030,395366
2016-04-08,452563,428216
2016-04-09,420822,438524
2016-04-10,395232,415392
2016-04-11,359512,376607
2016-04-12,340183,356084
2016-04-13,385099,408500
2016-04-14,372432,401307
2016-04-15,342786,355378
2016-04-16,360950,378639
2016-04-17,459950,456520
2016-04-18,446250,465693
2016-04-19,429391,425330
2016-04-20,388565,407860
2016-04-21,426136,443704
2016-04-22,452940,478647
2016-04-23,429559,452033
2016-04-24,410098,411860
2016-04-25,380528,374560
2016-04-26,364077,374752
2016-04-27,434924,402367
2016-04-28,462061,430062
2016-04-29,427752,446408
2016-04-30,396275,415553
2016-05-01,382488,392452
2016-05-02,371837,396176
2016-05-03,414570,435220
2016-05-04,457171,478894
2016-05-05,446408,449690
2016-05-06,429591,450557
2016-05-07,423046,419396
2016-05-08,406238,408025
2016-05-09,390469,291307
2016-05-10,418278,430872
2016-05-11,417060,400325
2016-05-12,381003,387457
2016-05-13,371292,379579
2016-05-14,372668,375391
2016-05-15,385578,370227
2016-05-16,438211,440182
2016-05-17,399024,400966
2016-05-18,362516,367634
2016-05-19,353163,370253
2016-05-20,346778,375721
2016-05-21,349963,374776
2016-05-22,348669,375886
2016-05-23,342510,364599
2016-05-24,365524,394571
2016-05-25,393440,402520
2016-05-26,354673,374987
2016-05-27,364580,364278
2016-05-28,341635,356314
2016-05-29,355007,359153
2016-05-30,349139,356378
2016-05-31,350012,366898
2016-06-01,346404,352921
2016-06-02,332854,354374
2016-06-03,322135,375329
2016-06-04,360873,381083
2016-06-05,348183,371063
2016-06-06,356970,374925
2016-06-07,338334,376067
2016-06-08,335183,364122
2016-06-09,335963,367486
2016-06-10,327791,373632
2016-06-11,339869,346723
2016-06-12,345011,381596
2016-06-13,350520,359138
2016-06-14,323574,339491
2016-06-15,324395,345824
2016-06-16,348355,358364
2016-06-17,333414,364316
2016-06-18,339427,360278
2016-06-19,412354,414110
2016-06-20,346359,371217
2016-06-21,393389,411952
2016-06-22,378052,361987
2016-06-23,378449,424921
2016-06-24,375327,445962
2016-06-25,420028,475614
2016-06-26,361539,432570
2016-06-27,345022,396424
2016-06-28,338639,395106
2016-06-29,344959,398636
2016-06-30,352630,411034
2016-07-01,364422,431546
2016-07-02,480471,453345
2016-07-03,482768,492990
2016-07-04,484882,459360
2016-07-05,475092,501173
2016-07-06,462444,483298
2016-07-07,444807,479244
2016-07-08,421755,452915
2016-07-09,424064,453996
2016-07-10,391946,451227
2016-07-11,387115,443979
2016-07-12,418941,434663
2016-07-13,448053,487884
2016-07-14,390361,411545
2016-07-15,374373,383686
2016-07-16,391541,393729
2016-07-17,421213,423338
2016-07-18,399359,411152
2016-07-19,382855,389258
2016-07-20,372225,397642
2016-07-21,363146,377343
2016-07-22,355271,382624
2016-07-23,363409,408583
2016-07-24,366366,395295
2016-07-25,363280,411440
2016-07-26,358456,381234
2016-07-27,358082,379540
2016-07-28,357984,379869
2016-07-29,353993,391730
2016-07-30,352957,400573
2016-07-31,347034,400743
2016-08-01,370291,395552
2016-08-02,361945,391086
2016-08-03,368566,384836
2016-08-04,423571,401656
2016-08-05,384481,392976
2016-08-06,373263,391530
2016-08-07,367051,393785
2016-08-08,353842,371250
2016-08-09,358034,341319
2016-08-10,351167,366286
2016-08-11,352958,385669
2016-08-12,355568,380258
2016-08-13,355036,398520
2016-08-14,338475,363589
2016-08-15,361583,385705
2016-08-16,359348,418858
2016-08-17,348125,367410
2016-08-18,344728,382669
2016-08-19,341029,373688
2016-08-20,345278,387797
2016-08-21,338597,379503
2016-08-22,341089,381972
2016-08-23,332796,359843
2016-08-24,331805,367870
2016-08-25,330609,351390
2016-08-26,333454,353435
2016-08-27,323583,369677
2016-08-28,442208,399427
2016-08-29,452023,455378
2016-08-30,377762,348898
2016-08-31,362835,352790
2016-09-01,356105,369977
2016-09-02,438367,404637
2016-09-03,480983,418801
2016-09-04,476603,414668
2016-09-05,449513,406601
2016-09-06,428678,419662
2016-09-07,406509,403428
2016-09-08,423729,416596
2016-09-09,384934,405851
2016-09-10,379930,375842
2016-09-11,375317,392351
2016-09-12,405914,364787
2016-09-13,418560,424948
2016-09-14,406499,416131
2016-09-15,373538,388176
2016-09-16,361579,376349
2016-09-17,439173,422613
2016-09-18,445350,438571
2016-09-19,449130,423849
2016-09-20,448276,426565
2016-09-21,428193,420615
2016-09-22,404388,398928
2016-09-23,396838,385521
2016-09-24,390107,394542
2016-09-25,380030,379866
2016-09-26,368017,393072
2016-09-27,374771,384936
2016-09-28,406994,393897
2016-09-29,459288,397820
2016-09-30,442048,400331
2016-10-01,464084,394128
2016-10-02,443948,407408
2016-10-03,424637,398658
2016-10-04,412428,381635
2016-10-05,464615,396733
2016-10-06,459852,399421
2016-10-07,452370,390256
2016-10-08,461505,390754
2016-10-09,455814,408182
2016-10-10,442637,404391
2016-10-11,422116,381785
2016-10-12,409605,391210
2016-10-13,397558,393053
2016-10-14,394791,391644
2016-10-15,394303,375636
2016-10-16,402340,384498
2016-10-17,464098,409438
2016-10-18,452084,382494
2016-10-19,435955,388195
2016-10-20,412670,346041
2016-10-21,393586,367273
2016-10-22,389155,342420
2016-10-23,382032,342202
2016-10-24,375484,343209
2016-10-25,376799,363609
2016-10-26,370200,345824
2016-10-27,358418,333160
2016-10-28,406275,369732
2016-10-29,377481,345273
2016-10-30,358188,323989
2016-10-31,348900,333249
2016-11-01,351693,321230
2016-11-02,344674,319325
2016-11-03,344221,323699
2016-11-04,341384,320211
2016-11-05,350406,322559
2016-11-06,338749,322527
2016-11-07,334208,301781
2016-11-08,330347,323970
2016-11-09,327674,277839
2016-11-10,371768,322943
2016-11-11,359553,314952
2016-11-12,346536,322419
2016-11-13,339500,324393
2016-11-14,403971,350626
2016-11-15,346183,339553
2016-11-16,342513,322058
2016-11-17,332847,310942
2016-11-18,351766,335368
2016-11-19,442705,395992
2016-11-20,365587,370714
2016-11-21,348033,338201
2016-11-22,336747,336755
2016-11-23,329244,337099
2016-11-24,326432,296503
2016-11-25,327437,315882
2016-11-26,334250,333405
2016-11-27,335661,349209
2016-11-28,331332,308149
2016-11-29,322550,298711
2016-11-30,378670,363747
2016-12-01,335865,300541
2016-12-02,327502,271783
2016-12-03,336181,329008
2016-12-04,333107,317203
2016-12-05,325973,301767
