distance_from_estuary_km,precip_daily,temp_daily,wind_max,gijang_discharge_m3_day,discharge_95th_thresh,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,wind_max_1d_lag,gijang_discharge_1d_lag,gijang_thresh_1d_lag,CSO_Flag_Rain,Dual_CSO_Flag,month,is_weekend,avg_water_temp,avg_water_temp_1d_lag,tide_range,tide_range_1d_lag,wind_sin,wind_cos,wind_sin_1d_lag,wind_cos_1d_lag,dry_days_count,actual,predicted_prob,predicted_class,is_error
1.0,1.0,20.275,16.2,6160.9,8249.3,1.8,13.500000000000002,23.30000000000001,23.30000000000001,19.1125,16.3,1437.0,6059.290000000001,1.0,0.0,6.0,0.0,19.3,19.3,106.0,107.0,-0.74080459628675,-0.6717205893229903,0.8309844692743282,-0.5562956155003048,0.0,1,0.15826456,0,True
0.0,0.0,23.804166666666664,9.8,6027.8,7604.659999999999,0.0,0.0,1.0000000000000284,84.4,22.383333333333336,10.0,3641.4,5019.7,0.0,0.0,7.0,0.0,16.9,16.7,122.0,119.0,-0.5562956155003048,-0.8309844692743282,-1.0,-1.8369701987210292e-16,3.0,0,0.5603431,1,True
1.0,0.0,23.804166666666664,9.8,6027.8,7604.659999999999,0.0,0.0,1.0000000000000284,84.4,22.383333333333336,10.0,3641.4,5019.7,0.0,0.0,7.0,0.0,16.9,16.7,122.0,119.0,-0.5562956155003048,-0.8309844692743282,-1.0,-1.8369701987210292e-16,3.0,0,0.4318288,1,True
0.0,0.1,22.866666666666664,14.8,6578.4,7535.775,1.6,1.6,3.5000000000000284,13.3,22.695833333333336,11.5,2377.5,5232.9000000000015,0.0,0.0,7.0,0.0,22.3,22.0,95.0,90.0,1.0,6.123233995736766e-17,0.8821268660176678,-0.47101188121941,0.0,0,0.6800834,1,True
0.0,0.0,28.379166666666663,22.1,6035.6,7197.065,0.1,0.2,0.2000000000000284,1.6000000000000285,28.14583333333333,15.5,2055.2,5352.9450000000015,0.0,0.0,8.0,0.0,26.6,26.5,87.0,71.0,0.9040825496607784,0.4273578633871923,-0.3370952584230819,-0.941470544812038,1.0,0,0.67106515,1,True
0.5,0.0,28.379166666666663,22.1,6035.6,7197.065,0.1,0.2,0.2000000000000284,1.6000000000000285,28.14583333333333,15.5,2055.2,5352.945000000001,0.0,0.0,8.0,0.0,26.6,26.5,87.0,71.0,0.9040825496607784,0.4273578633871923,-0.3370952584230819,-0.941470544812038,1.0,0,0.7064718,1,True
0.0,3.0,25.454166666666666,25.5,6052.1,7393.07,2.9,3.1,3.100000000000028,18.100000000000023,25.933333333333334,16.3,2081.9,5423.4400000000005,0.0,0.0,8.0,0.0,25.6,24.8,85.0,93.0,-0.3370952584230822,0.9414705448120378,0.6347305132022676,0.7727335734973511,0.0,0,0.64201057,1,True
0.5,3.0,25.454166666666666,25.5,6052.1,7393.07,2.9,3.1,3.100000000000028,18.100000000000023,25.933333333333334,16.3,2081.9,5423.4400000000005,0.0,0.0,8.0,0.0,25.6,24.8,85.0,93.0,-0.3370952584230822,0.9414705448120378,0.6347305132022676,0.7727335734973511,0.0,0,0.64115655,1,True
1.0,3.0,25.454166666666666,25.5,6052.1,7393.07,2.9,3.1,3.100000000000028,18.100000000000023,25.933333333333334,16.3,2081.9,5423.4400000000005,0.0,0.0,8.0,0.0,25.6,24.8,85.0,93.0,-0.3370952584230822,0.9414705448120378,0.6347305132022676,0.7727335734973511,0.0,0,0.31003305,1,True
0.0,0.0,21.1875,9.7,6422.0,8212.39,0.0,0.0,33.800000000000054,185.7,22.316666666666663,16.6,3906.6,5721.035000000001,1.0,0.0,6.0,0.0,18.93,18.68,65.0,54.0,-0.858064905723645,0.5135412520581694,0.9952273999818312,-0.0975828997591493,3.0,0,0.32684958,1,True
1.0,0.0,21.1875,9.7,6422.0,8212.39,0.0,0.0,33.800000000000054,185.7,22.316666666666663,16.6,3906.6,5721.035000000001,1.0,0.0,6.0,0.0,18.92,18.68,65.0,54.0,-0.858064905723645,0.5135412520581694,0.9952273999818312,-0.0975828997591493,3.0,0,0.32684958,1,True
0.5,9.4,22.2875,15.9,6028.9,7393.07,0.4,1.1,4.6000000000000565,13.700000000000028,23.72083333333333,8.8,3375.2,5370.140000000001,0.0,0.0,7.0,0.0,16.7,16.2,89.0,98.0,0.6717205893229902,0.7408045962867501,-0.4710118812194107,0.8821268660176674,0.0,0,0.65647984,1,True
1.0,9.4,22.2875,15.9,6028.9,7393.07,0.4,1.1,4.6000000000000565,13.700000000000028,23.72083333333333,8.8,3375.2,5370.140000000001,0.0,0.0,7.0,0.0,16.7,16.2,89.0,98.0,0.6717205893229902,0.7408045962867501,-0.4710118812194107,0.8821268660176674,0.0,0,0.61746264,1,True
0.0,0.0,20.725,14.0,5979.0,7250.365,0.3,5.300000000000014,9.200000000000044,159.30000000000004,20.375,14.2,2574.6,5423.4400000000005,0.0,0.0,7.0,0.0,21.1,20.7,68.0,50.0,0.5548444274479992,-0.8319541221304826,0.9040825496607784,-0.4273578633871924,1.0,0,0.67106515,1,True
1.0,0.0,20.725,14.0,5979.0,7250.365,0.3,5.300000000000014,9.200000000000044,159.30000000000004,20.375,14.2,2574.6,5423.4400000000005,0.0,0.0,7.0,0.0,21.1,20.7,68.0,50.0,0.5548444274479992,-0.8319541221304826,0.9040825496607784,-0.4273578633871924,1.0,0,0.67106515,1,True
0.0,15.2,25.15833333333333,13.9,6049.8,7250.365,5.8,12.100000000000014,13.800000000000043,14.100000000000028,25.225,27.9,3087.5,5316.840000000001,0.0,0.0,7.0,0.0,18.0,19.3,113.0,105.0,1.2246467991473532e-16,-1.0,-0.8580649057236444,-0.5135412520581705,0.0,0,0.40202004,1,True
1.0,15.2,25.15833333333333,13.9,6049.8,7250.365,5.8,12.100000000000014,13.800000000000043,14.100000000000028,25.225,27.9,3087.5,5316.840000000001,0.0,0.0,7.0,0.0,18.0,19.3,113.0,105.0,1.2246467991473532e-16,-1.0,-0.8580649057236444,-0.5135412520581705,0.0,0,0.40202004,1,True
1.0,0.2,27.9375,24.3,6909.6,7850.565,0.0,3.000000000000014,15.10000000000005,53.30000000000002,27.820833333333336,22.7,6689.1,6802.995,0.0,0.0,8.0,0.0,12.9,13.7,43.0,35.0,-0.9952273999818312,-0.0975828997591497,-1.0,-1.8369701987210292e-16,0.0,0,0.34608737,1,True
0.5,0.0,26.02916666666667,17.1,6140.2,7604.659999999999,0.0,0.0,0.0,0.0,28.079166666666666,12.4,3441.5,5232.9000000000015,0.0,0.0,8.0,0.0,18.7,17.2,130.0,130.0,-0.5548444274479993,0.8319541221304825,0.9040825496607784,0.4273578633871923,7.0,0,0.4969203,1,True
1.0,0.0,26.02916666666667,17.1,6140.2,7604.659999999999,0.0,0.0,0.0,0.0,28.079166666666666,12.4,3441.5,5232.9000000000015,0.0,0.0,8.0,0.0,18.7,17.2,130.0,130.0,-0.5548444274479993,0.8319541221304825,0.9040825496607784,0.4273578633871923,7.0,0,0.5626982,1,True
0.0,0.7,22.14583333333333,10.1,6316.3,7393.07,0.2,0.8000000000000302,13.100000000000042,21.50000000000001,21.59166666666667,15.2,901.4,5156.94,0.0,0.0,9.0,0.0,21.060000000000002,19.999999999999996,96.0,71.0,0.980614658546613,-0.1959461442425175,0.2436150117860224,-0.9698720152847468,0.0,0,0.6621488,1,True
1.0,0.7,22.14583333333333,10.1,6316.8,7393.07,0.2,0.8000000000000302,13.100000000000042,21.50000000000001,21.59166666666667,15.2,901.4,5156.939999999999,0.0,0.0,9.0,0.0,21.060000000000002,20.009999999999998,96.0,71.0,0.980614658546613,-0.1959461442425175,0.2436150117860224,-0.9698720152847468,0.0,0,0.40403563,1,True
