지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2018-01-15,1.6,275.6
923,기장,2018-01-16,1.7,25.3
923,기장,2018-01-17,2,47.8
923,기장,2018-01-18,1.5,326.3
923,기장,2018-01-19,1.9,284.1
923,기장,2018-01-20,1.8,343.1
923,기장,2018-01-21,1.7,329.1
923,기장,2018-01-22,1.9,284.1
923,기장,2018-01-23,2.9,289.7
923,기장,2018-01-24,2.8,0
923,기장,2018-01-25,1.8,289.7
923,기장,2018-01-26,1.9,281.3
923,기장,2018-01-27,2.2,227.8
923,기장,2018-01-28,1.8,306.6
923,기장,2018-01-29,2.4,289.7
923,기장,2018-01-30,1.9,298.1
923,기장,2018-01-31,1.6,160.3
923,기장,2018-02-01,1.6,56.3
923,기장,2018-02-02,1.8,258.8
923,기장,2018-02-03,2.2,275.6
923,기장,2018-02-04,3.4,306.6
923,기장,2018-02-05,3,331.9
923,기장,2018-02-06,2.2,326.3
923,기장,2018-02-07,1.5,312.2
923,기장,2018-02-08,1.9,329.1
923,기장,2018-02-09,2.1,286.9
923,기장,2018-02-10,1.3,233.4
923,기장,2018-02-11,2.6,286.9
923,기장,2018-02-12,2.7,306.6
923,기장,2018-02-13,1.8,213.8
923,기장,2018-02-14,3.2,292.5
923,기장,2018-02-15,1.9,118.1
923,기장,2018-02-16,1.7,272.8
923,기장,2018-02-17,1.4,331.9
923,기장,2018-02-18,1.6,92.8
923,기장,2018-02-19,1.5,112.5
923,기장,2018-02-20,1.6,281.3
923,기장,2018-02-21,1.8,45
923,기장,2018-02-22,1.7,182.8
923,기장,2018-02-23,2.4,258.8
923,기장,2018-02-24,1.9,39.4
923,기장,2018-02-25,1.8,47.8
923,기장,2018-02-26,2,42.2
923,기장,2018-02-27,2,191.3
923,기장,2018-02-28,2.1,112.5
923,기장,2018-03-01,3.2,323.4
923,기장,2018-03-02,2.1,208.1
923,기장,2018-03-03,1.8,264.4
923,기장,2018-03-04,1.4,227.8
923,기장,2018-03-05,3.9,329.1
923,기장,2018-03-06,3.2,19.7
923,기장,2018-03-07,3.2,11.3
923,기장,2018-03-08,3,36.6
923,기장,2018-03-09,2.1,70.3
923,기장,2018-03-10,2.1,219.4
923,기장,2018-03-11,2,219.4
923,기장,2018-03-12,1.9,210.9
923,기장,2018-03-13,2.2,278.4
923,기장,2018-03-14,2.1,191.3
923,기장,2018-03-15,2.3,292.5
923,기장,2018-03-16,4.5,70.3
923,기장,2018-03-17,2.1,14.1
923,기장,2018-03-18,1.6,171.6
923,기장,2018-03-19,3.5,67.5
923,기장,2018-03-20,5.9,28.1
923,기장,2018-03-21,4.3,53.4
923,기장,2018-03-22,2,73.1
923,기장,2018-03-23,2.2,213.8
923,기장,2018-03-24,1.6,230.6
923,기장,2018-03-25,2.2,157.5
923,기장,2018-03-26,1.9,286.9
923,기장,2018-03-27,1.9,250.3
923,기장,2018-03-28,1.9,208.1
923,기장,2018-03-29,2.1,98.4
923,기장,2018-03-30,2.8,109.7
923,기장,2018-03-31,2.2,202.5
923,기장,2018-04-01,1.9,230.6
923,기장,2018-04-02,1.9,247.5
923,기장,2018-04-03,2.3,199.7
923,기장,2018-04-04,2.6,75.9
923,기장,2018-04-05,2.3,59.1
923,기장,2018-04-06,2,275.6
923,기장,2018-04-07,3.1,267.2
923,기장,2018-04-08,2.5,208.1
923,기장,2018-04-09,1.7,284.1
923,기장,2018-04-10,3,250.3
923,기장,2018-04-11,2.9,253.1
923,기장,2018-04-12,1.8,261.6
923,기장,2018-04-13,2.6,56.3
923,기장,2018-04-14,1.5,22.5
923,기장,2018-04-15,1.3,213.8
923,기장,2018-04-16,2.3,28.1
923,기장,2018-04-17,1.5,101.3
923,기장,2018-04-18,1.9,208.1
923,기장,2018-04-19,1.8,275.6
923,기장,2018-04-20,1.3,309.4
923,기장,2018-04-21,2.1,253.1
923,기장,2018-04-22,2.3,28.1
923,기장,2018-04-23,3.3,22.5
923,기장,2018-04-24,4,11.3
923,기장,2018-04-25,2.6,30.9
923,기장,2018-04-26,1.6,202.5
923,기장,2018-04-27,1.7,84.4
923,기장,2018-04-28,1.7,160.3
923,기장,2018-04-29,2.4,258.8
923,기장,2018-04-30,2,250.3
923,기장,2018-05-01,1.3,50.6
923,기장,2018-05-02,1.4,315
923,기장,2018-05-03,3,275.6
923,기장,2018-05-04,2.8,250.3
923,기장,2018-05-05,2.4,196.9
923,기장,2018-05-06,1.9,95.6
923,기장,2018-05-07,2.1,64.7
923,기장,2018-05-08,4,75.9
923,기장,2018-05-09,3,348.8
923,기장,2018-05-10,2,219.4
923,기장,2018-05-11,1.8,244.7
923,기장,2018-05-12,2.1,202.5
923,기장,2018-05-13,1.9,270
923,기장,2018-05-14,1.5,210.9
923,기장,2018-05-15,1.9,258.8
923,기장,2018-05-16,2.6,194.1
923,기장,2018-05-17,3.1,239.1
923,기장,2018-05-18,2.7,247.5
923,기장,2018-05-19,3.8,59.1
923,기장,2018-05-20,4,50.6
923,기장,2018-05-21,3.2,70.3
923,기장,2018-05-22,1.7,90
923,기장,2018-05-23,1.6,75.9
923,기장,2018-05-24,1.7,230.6
923,기장,2018-05-25,1.4,357.2
923,기장,2018-05-26,1.6,73.1
923,기장,2018-05-27,1.2,216.6
923,기장,2018-05-28,1.2,75.9
923,기장,2018-05-29,1.1,210.9
923,기장,2018-05-30,1.4,216.6
923,기장,2018-05-31,1.2,75.9
923,기장,2018-06-01,1.3,87.2
923,기장,2018-06-02,1.2,174.4
923,기장,2018-06-03,1.3,177.2
923,기장,2018-06-04,1.6,258.8
923,기장,2018-06-05,.8,126.6
923,기장,2018-06-06,1.2,188.4
923,기장,2018-06-07,1.6,230.6
923,기장,2018-06-08,1.5,264.4
923,기장,2018-06-09,3.3,75.9
923,기장,2018-06-10,3.4,25.3
923,기장,2018-06-11,2.4,42.2
923,기장,2018-06-12,1.3,45
923,기장,2018-06-13,1.7,101.3
923,기장,2018-06-14,2.7,104.1
923,기장,2018-06-15,3.8,67.5
923,기장,2018-06-16,3.1,39.4
923,기장,2018-06-17,1.8,45
923,기장,2018-06-18,1.3,182.8
923,기장,2018-06-19,1.2,5.6
923,기장,2018-06-20,1.2,323.4
923,기장,2018-06-21,1.4,188.4
923,기장,2018-06-22,1.1,188.4
923,기장,2018-06-23,1.5,244.7
923,기장,2018-06-24,1.5,154.7
923,기장,2018-06-25,1.1,171.6
923,기장,2018-06-26,2.2,233.4
923,기장,2018-06-27,3,250.3
923,기장,2018-06-28,1.2,253.1
923,기장,2018-06-29,1.6,213.8
923,기장,2018-06-30,1,261.6
