inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20230808,개장중 8월 8일,송도-C2,10,233,적합,2023-08-08
20230816,개장중 8월 16일,송도-A1,180,"1,187",부적합,2023-08-16
20230816,개장중 8월 16일,송도-A2,155,620,부적합,2023-08-16
20230816,개장중 8월 16일,송도-B1,153,884,부적합,2023-08-16
20230816,개장중 8월 16일,송도-B2,282,695,부적합,2023-08-16
20230816,개장중 8월 16일,송도-C1,189,816,부적합,2023-08-16
20230816,개장중 8월 16일,송도-C2,178,857,부적합,2023-08-16
20230823,개장중 8월 23일,송도-A1,16,"14,136",부적합,2023-08-23
20230823,개장중 8월 23일,송도-A2,21,"15,531",부적합,2023-08-23
20230823,개장중 8월 23일,송도-B1,5,"15,531",부적합,2023-08-23
20230823,개장중 8월 23일,송도-B2,10,"17,329",부적합,2023-08-23
20230823,개장중 8월 23일,송도-C1,16,"17,329",부적합,2023-08-23
20230823,개장중 8월 23일,송도-C2,5,"15,531",부적합,2023-08-23
20230828,개장중 8월 28일,송도-A1,5,52,적합,2023-08-28
20230828,개장중 8월 28일,송도-A2,5,63,적합,2023-08-28
20230828,개장중 8월 28일,송도-B1,10,98,적합,2023-08-28
20230828,개장중 8월 28일,송도-B2,5,97,적합,2023-08-28
20230828,개장중 8월 28일,송도-C1,5,98,적합,2023-08-28
20230828,개장중 8월 28일,송도-C2,26,110,적합,2023-08-28
20230912,폐장후 9월 12일,송도-A1,0,31,적합,2023-09-12
20230912,폐장후 9월 12일,송도-A2,0,122,적합,2023-09-12
20230912,폐장후 9월 12일,송도-B1,0,148,적합,2023-09-12
20230912,폐장후 9월 12일,송도-B2,0,75,적합,2023-09-12
20230912,폐장후 9월 12일,송도-C1,0,181,적합,2023-09-12
20230912,폐장후 9월 12일,송도-C2,5,134,적합,2023-09-12
20240603,개장전,송도1,0,10,적합,2024-06-03
20240603,개장전,송도2,5,0,적합,2024-06-03
20240603,개장전,송도3,5,0,적합,2024-06-03
20240603,개장전,송도4,0,0,적합,2024-06-03
20240603,개장전,송도5,0,0,적합,2024-06-03
20240603,개장전,송도6,0,0,적합,2024-06-03
20240703,개장중1차,송도1,220,627,부적합,2024-07-03
20240703,개장중1차,송도2,96,480,적합,2024-07-03
20240703,개장중1차,송도3,92,441,적합,2024-07-03
20240703,개장중1차,송도4,253,683,부적합,2024-07-03
20240703,개장중1차,송도5,94,428,적합,2024-07-03
20240703,개장중1차,송도6,83,457,적합,2024-07-03
20240715,개장중2차,송도1,21,689,부적합,2024-07-15
20240715,개장중3차,송도2,10,364,적합,2024-07-15
20240715,개장중4차,송도3,5,473,적합,2024-07-15
20240715,개장중5차,송도4,15,443,적합,2024-07-15
20240715,개장중6차,송도5,10,381,적합,2024-07-15
20240715,개장중7차,송도6,32,644,부적합,2024-07-15
20240729,개장중3차,송도1,32,663,부적합,2024-07-29
20240729,개장중3차,송도2,26,495,적합,2024-07-29
20240729,개장중3차,송도3,21,474,적합,2024-07-29
20240729,개장중3차,송도4,26,908,부적합,2024-07-29
20240729,개장중3차,송도5,48,650,부적합,2024-07-29
20240729,개장중3차,송도6,21,703,부적합,2024-07-29
20240805,개장중3차-재검사,송도1,0,0,적합,2024-08-05
20240805,개장중3차-재검사,송도2,0,0,적합,2024-08-05
20240805,개장중3차-재검사,송도3,0,0,적합,2024-08-05
20240805,개장중3차-재검사,송도4,0,0,적합,2024-08-05
20240805,개장중3차-재검사,송도5,0,0,적합,2024-08-05
20240805,개장중3차-재검사,송도6,0,0,적합,2024-08-05
20240819,개장중4차,송도1,0,0,적합,2024-08-19
20240819,개장중4차,송도2,21,0,적합,2024-08-19
20240819,개장중4차,송도3,0,0,적합,2024-08-19
20240819,개장중4차,송도4,0,10,적합,2024-08-19
20240819,개장중4차,송도5,0,0,적합,2024-08-19
20240819,개장중4차,송도6,0,10,적합,2024-08-19
20240902,폐장후,송도1,0,0,적합,2024-09-02
20240902,폐장후,송도2,0,0,적합,2024-09-02
20240902,폐장후,송도3,0,0,적합,2024-09-02
20240902,폐장후,송도4,0,10,적합,2024-09-02
20240902,폐장후,송도5,0,10,적합,2024-09-02
20240902,폐장후,송도6,0,0,적합,2024-09-02
20250613,개장전,송도1,16,228,적합,2025-06-13
20250613,개장전,송도2,0,173,적합,2025-06-13
20250613,개장전,송도3,26,173,적합,2025-06-13
