date,wind_max,wind_dir
2017-08-10,14.5,287
2017-08-11,11.8,31
2017-08-12,24.2,50
2017-08-13,20.8,48
2017-08-14,25.3,57
2017-08-15,15.0,58
2017-08-16,9.9,120
2017-08-17,10.9,133
2017-08-18,8.4,68
2017-08-19,11.8,62
2017-08-20,15.8,89
2017-08-21,26.1,204
2017-08-22,23.7,232
2017-08-23,24.2,237
2017-08-24,32.0,235
2017-08-25,20.2,263
2017-08-26,15.8,4
2017-08-27,15.5,58
2017-08-28,16.9,234
2017-08-29,20.7,25
2017-08-30,15.1,349
2017-08-31,26.0,24
2017-09-01,23.4,34
2017-09-02,24.0,34
2017-09-03,22.1,43
2017-09-04,21.0,47
2017-09-05,15.8,49
2017-09-06,10.8,292
2017-09-07,11.7,320
2017-09-08,12.2,324
2017-09-09,8.2,216
2017-09-10,14.4,76
2017-09-11,42.5,204
2017-09-12,15.0,310
2017-09-13,17.2,2
2017-09-14,22.6,45
2017-09-15,35.7,60
2017-09-16,29.7,51
2017-09-17,28.4,18
2017-09-18,15.9,233
2017-09-19,21.9,247
2017-09-20,19.4,284
2017-09-21,12.7,61
2017-09-22,11.2,58
2017-09-23,9.8,275
2017-09-24,13.0,97
2017-09-25,18.1,59
2017-09-26,16.6,65
2017-09-27,22.7,20
2017-09-28,16.5,353
2017-09-29,16.3,321
2017-09-30,11.0,309
2017-10-01,21.1,130
2017-10-02,37.9,156
2017-10-03,23.4,38
2017-10-04,25.3,55
2017-10-05,28.5,54
2017-10-06,18.9,33
2017-10-07,19.6,38
2017-10-08,13.3,41
2017-10-09,11.3,261
2017-10-10,11.3,346
2017-10-11,18.6,296
2017-10-12,17.3,347
2017-10-13,20.3,331
2017-10-14,24.2,9
2017-10-15,26.9,41
2017-10-16,22.7,37
2017-10-17,23.5,34
2017-10-18,29.5,48
2017-10-19,23.6,30
2017-10-20,24.7,24
2017-10-21,29.0,25
2017-10-22,42.8,21
2017-10-23,24.3,14
2017-10-24,12.0,24
2017-10-25,12.2,357
2017-10-26,11.0,27
2017-10-27,15.4,24
2017-10-28,26.3,37
2017-10-29,31.6,331
2017-10-30,32.6,329
2017-10-31,15.4,314
2017-11-01,9.5,291
2017-11-02,10.3,290
2017-11-03,19.8,306
