date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day,munoseong_discharge_m3_day
2015-10-04,27045.0,19719.0,549
2015-10-05,27836.0,19709.0,587
2015-10-06,26780.0,20003.0,599
2015-10-07,27060.0,19172.0,483
2015-10-08,26997.0,20171.0,553
2015-10-09,27405.0,18899.0,617
2015-10-10,26115.0,19082.0,597
2015-10-11,25031.0,19323.0,631
2015-10-12,24932.0,19327.0,613
2015-10-13,24383.0,19074.0,458
2015-10-14,24575.0,20617.0,512
2015-10-15,24658.0,20622.0,542
2015-10-16,24217.0,19516.0,563
2015-10-17,24471.0,20036.0,603
2015-10-18,24867.0,19877.0,546
2015-10-19,25609.0,19862.0,590
2015-10-20,25797.0,19877.0,475
2015-10-21,24618.0,20189.0,514
2015-10-22,24087.0,19499.0,525
2015-10-23,25465.0,19675.0,529
2015-10-24,25640.0,19521.0,523
2015-10-25,25974.0,18789.0,633
2015-10-26,23886.0,19026.0,620
2015-10-27,25660.0,19426.0,587
2015-10-28,25790.0,20018.0,599
2015-10-29,24728.0,19949.0,584
2015-10-30,23671.0,19951.0,589
2015-10-31,24283.0,19619.0,596
2015-11-01,24704.0,19794.0,615
2015-11-02,24902.0,20180.0,613
2015-11-03,23650.0,20281.0,502
2015-11-04,24120.0,20042.0,492
2015-11-05,27994.0,19910.0,550
2015-11-06,23874.0,21431.0,641
2015-11-07,27118.0,20736.0,671
2015-11-08,27587.0,26568.0,1059
2015-11-09,27783.0,21577.0,702
2015-11-10,24697.0,21020.0,575
2015-11-11,26170.0,20560.0,556
2015-11-12,24970.0,22788.0,569
2015-11-13,26931.0,24601.0,931
2015-11-14,25166.0,22053.0,738
2015-11-15,25409.0,21236.0,741
2015-11-16,26744.0,21350.0,670
2015-11-17,27336.0,22455.0,541
2015-11-18,24693.0,21393.0,678
2015-11-19,28793.0,19285.0,625
2015-11-20,28408.0,21211.0,612
2015-11-21,26595.0,19407.0,555
2015-11-22,25294.0,20216.0,706
2015-11-23,26703.0,20203.0,637
2015-11-24,26265.0,21566.0,526
2015-11-25,26024.0,20818.0,598
2015-11-26,24625.0,20846.0,667
2015-11-27,25197.0,19247.0,655
2015-11-28,25374.0,20627.0,599
2015-11-29,24767.0,21170.0,643
2015-11-30,24900.0,21412.0,621
2015-12-01,25176.0,19988.0,531
2015-12-02,25116.0,20409.0,553
2015-12-03,25595.0,20349.0,562
2015-12-04,25201.0,20201.0,557
2015-12-05,25320.0,19472.0,627
2015-12-06,24660.0,19495.0,644
2015-12-07,23889.0,20375.0,580
2015-12-08,24081.0,20548.0,502
2015-12-09,24189.0,19914.0,505
2015-12-10,25312.0,21841.0,829
2015-12-11,26122.0,25421.0,897
2015-12-12,25976.0,21839.0,643
2015-12-13,25726.0,21216.0,690
2015-12-14,25353.0,20626.0,594
2015-12-15,24988.0,20015.0,492
2015-12-16,24409.0,21155.0,549
2015-12-17,23545.0,20520.0,624
2015-12-18,24627.0,20134.0,594
2015-12-19,24451.0,20134.0,568
2015-12-20,24265.0,20662.0,657
2015-12-21,25479.0,21321.0,586
2015-12-22,24799.0,21515.0,538
2015-12-23,24804.0,20078.0,521
2015-12-24,23587.0,20517.0,556
