date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2015-10-24,25640.0,19521
2015-10-25,25974.0,18789
2015-10-26,23886.0,19026
2015-10-27,25660.0,19426
2015-10-28,25790.0,20018
2015-10-29,24728.0,19949
2015-10-30,23671.0,19951
2015-10-31,24283.0,19619
2015-11-01,24704.0,19794
2015-11-02,24902.0,20180
2015-11-03,23650.0,20281
2015-11-04,24120.0,20042
2015-11-05,27994.0,19910
2015-11-06,23874.0,21431
2015-11-07,27118.0,20736
2015-11-08,27587.0,26568
2015-11-09,27783.0,21577
2015-11-10,24697.0,21020
2015-11-11,26170.0,20560
2015-11-12,24970.0,22788
2015-11-13,26931.0,24601
2015-11-14,25166.0,22053
2015-11-15,25409.0,21236
2015-11-16,26744.0,21350
2015-11-17,27336.0,22455
2015-11-18,24693.0,21393
2015-11-19,28793.0,19285
2015-11-20,28408.0,21211
2015-11-21,26595.0,19407
2015-11-22,25294.0,20216
2015-11-23,26703.0,20203
2015-11-24,26265.0,21566
2015-11-25,26024.0,20818
2015-11-26,24625.0,20846
2015-11-27,25197.0,19247
2015-11-28,25374.0,20627
2015-11-29,24767.0,21170
2015-11-30,24900.0,21412
2015-12-01,25176.0,19988
2015-12-02,25116.0,20409
2015-12-03,25595.0,20349
2015-12-04,25201.0,20201
2015-12-05,25320.0,19472
2015-12-06,24660.0,19495
2015-12-07,23889.0,20375
2015-12-08,24081.0,20548
2015-12-09,24189.0,19914
2015-12-10,25312.0,21841
2015-12-11,26122.0,25421
2015-12-12,25976.0,21839
2015-12-13,25726.0,21216
2015-12-14,25353.0,20626
2015-12-15,24988.0,20015
2015-12-16,24409.0,21155
2015-12-17,23545.0,20520
2015-12-18,24627.0,20134
2015-12-19,24451.0,20134
2015-12-20,24265.0,20662
2015-12-21,25479.0,21321
2015-12-22,24799.0,21515
2015-12-23,24804.0,20078
2015-12-24,23587.0,20517
2015-12-25,25009.0,20325
2015-12-26,24808.0,19768
2015-12-27,24341.0,20887
2015-12-28,24525.0,20173
2015-12-29,24261.0,20906
2015-12-30,24689.0,19321
2015-12-31,24443.0,20209
2016-01-01,24534.0,21015
2016-01-02,24148.0,19649
2016-01-03,22976.0,21084
2016-01-04,24626.0,20867
2016-01-05,23923.0,20618
2016-01-06,24129.0,20884
2016-01-07,23919.0,20098
2016-01-08,23645.0,20721
2016-01-09,23849.0,21187
2016-01-10,23661.0,20497
2016-01-11,23790.0,20697
2016-01-12,23458.0,20288
2016-01-13,23123.0,20793
2016-01-14,22960.0,20555
2016-01-15,23105.0,20322
2016-01-16,23082.0,21348
2016-01-17,22725.0,22255
2016-01-18,22287.0,20759
2016-01-19,21471.0,20596
2016-01-20,21212.0,20492
2016-01-21,20922.0,20417
2016-01-22,22791.0,20907
2016-01-23,21762.0,21260
2016-01-24,21736.0,20811
2016-01-25,20350.0,20320
2016-01-26,21696.0,20405
2016-01-27,22765.0,21301
2016-01-28,22145.0,21731
2016-01-29,22703.0,26727
2016-01-30,23102.0,24108
2016-01-31,23589.0,22437
2016-02-01,23740.0,22206
2016-02-02,23502.0,21173
2016-02-03,23121.0,21140
2016-02-04,24725.0,21078
2016-02-05,24506.0,22277
2016-02-06,23403.0,22681
2016-02-07,23046.0,20892
2016-02-08,18472.0,18244
2016-02-09,20724.0,18022
2016-02-10,19964.0,21219
2016-02-11,20706.0,20889
2016-02-12,23007.0,22041
2016-02-13,25673.0,28104
2016-02-14,26727.0,26232
2016-02-15,22593.0,22879
2016-02-16,23174.0,21338
2016-02-17,23738.0,20515
2016-02-18,25484.0,20188
2016-02-19,23500.0,20450
2016-02-20,21900.0,20661
2016-02-21,24110.0,21488
2016-02-22,23855.0,20540
2016-02-23,23497.0,20594
2016-02-24,23574.0,20936
2016-02-25,22698.0,20759
2016-02-26,23592.0,20330
2016-02-27,23589.0,20592
2016-02-28,24012.0,20820
2016-02-29,22123.0,19967
2016-03-01,20553.0,20559
2016-03-02,21170.0,21139
2016-03-03,23576.0,20585
2016-03-04,25878.0,22581
2016-03-05,27676.0,22569
2016-03-06,26917.0,24374
2016-03-07,27560.0,24300
2016-03-08,26831.0,21776
2016-03-09,28929.0,22369
2016-03-10,28504.0,22522
2016-03-11,29106.0,20778
2016-03-12,29176.0,22053
2016-03-13,28355.0,21560
2016-03-14,26644.0,22314
2016-03-15,25919.0,21401
2016-03-16,24879.0,20972
2016-03-17,24653.0,21197
2016-03-18,24771.0,24697
2016-03-19,26316.0,23387
2016-03-20,26686.0,23745
2016-03-21,25473.0,23448
2016-03-22,25471.0,21633
2016-03-23,26555.0,21140
2016-03-24,24334.0,20151
2016-03-25,24709.0,21130
2016-03-26,25704.0,22225
2016-03-27,26012.0,23095
2016-03-28,23697.0,22322
2016-03-29,24936.0,22110
2016-03-30,23995.0,22595
2016-03-31,24114.0,22448
2016-04-01,25391.0,20767
2016-04-02,23132.0,21437
2016-04-03,22265.0,21471
2016-04-04,24502.0,20620
2016-04-05,23826.0,20786
2016-04-06,21551.0,22192
2016-04-07,28149.0,35300
2016-04-08,27828.0,25604
2016-04-09,27654.0,23862
2016-04-10,26349.0,22541
2016-04-11,23762.0,22168
2016-04-12,22945.0,20886
2016-04-13,23558.0,21318
2016-04-14,25546.0,21425
2016-04-15,26065.0,21029
2016-04-16,25504.0,22397
2016-04-17,25669.0,31432
2016-04-18,23369.0,24774
2016-04-19,27552.0,22817
2016-04-20,27829.0,23299
2016-04-21,26034.0,26100
2016-04-22,26849.0,25382
2016-04-23,25674.0,23591
2016-04-24,25324.0,22441
2016-04-25,27257.0,22400
2016-04-26,24979.0,21221
2016-04-27,26816.0,24857
2016-04-28,30106.0,23093
2016-04-29,31020.0,21833
2016-04-30,32596.0,22244
2016-05-01,31395.0,22066
2016-05-02,29547.0,22061
2016-05-03,30168.0,35453
