관리구군명,관리기관명,방문객수(명),방문일,연번,연도
부산광역시 해운대구,관광시설관리사업소,32172,2021-07-04,34,2021
부산광역시 해운대구,관광시설관리사업소,39947,2021-07-05,35,2021
부산광역시 해운대구,관광시설관리사업소,30210,2021-07-06,36,2021
부산광역시 해운대구,관광시설관리사업소,28887,2021-07-07,37,2021
부산광역시 해운대구,관광시설관리사업소,26566,2021-07-08,38,2021
부산광역시 해운대구,관광시설관리사업소,30206,2021-07-09,39,2021
부산광역시 해운대구,관광시설관리사업소,36907,2021-07-10,40,2021
부산광역시 해운대구,관광시설관리사업소,46005,2021-07-11,41,2021
부산광역시 해운대구,관광시설관리사업소,38402,2021-07-12,42,2021
부산광역시 해운대구,관광시설관리사업소,31834,2021-07-13,43,2021
부산광역시 해운대구,관광시설관리사업소,31896,2021-07-14,44,2021
부산광역시 해운대구,관광시설관리사업소,31971,2021-07-15,45,2021
부산광역시 해운대구,관광시설관리사업소,31949,2021-07-16,46,2021
부산광역시 해운대구,관광시설관리사업소,72264,2021-07-17,47,2021
부산광역시 해운대구,관광시설관리사업소,78314,2021-07-18,48,2021
부산광역시 해운대구,관광시설관리사업소,71941,2021-07-19,49,2021
부산광역시 해운대구,관광시설관리사업소,31769,2021-07-20,50,2021
부산광역시 해운대구,관광시설관리사업소,31443,2021-07-21,51,2021
부산광역시 해운대구,관광시설관리사업소,32876,2021-07-22,52,2021
부산광역시 해운대구,관광시설관리사업소,32296,2021-07-23,53,2021
부산광역시 해운대구,관광시설관리사업소,33911,2021-07-24,54,2021
부산광역시 해운대구,관광시설관리사업소,39535,2021-07-25,55,2021
부산광역시 해운대구,관광시설관리사업소,36708,2021-07-26,56,2021
부산광역시 해운대구,관광시설관리사업소,32092,2021-07-27,57,2021
부산광역시 해운대구,관광시설관리사업소,31964,2021-07-28,58,2021
부산광역시 해운대구,관광시설관리사업소,33337,2021-07-29,59,2021
부산광역시 해운대구,관광시설관리사업소,35040,2021-07-30,60,2021
부산광역시 해운대구,관광시설관리사업소,37137,2021-07-31,61,2021
부산광역시 해운대구,관광시설관리사업소,43295,2021-08-01,62,2021
부산광역시 해운대구,관광시설관리사업소,42677,2021-08-02,63,2021
부산광역시 해운대구,관광시설관리사업소,39833,2021-08-03,64,2021
부산광역시 해운대구,관광시설관리사업소,36661,2021-08-04,65,2021
부산광역시 해운대구,관광시설관리사업소,34778,2021-08-05,66,2021
부산광역시 해운대구,관광시설관리사업소,68671,2021-08-06,67,2021
부산광역시 해운대구,관광시설관리사업소,224656,2021-08-07,68,2021
부산광역시 해운대구,관광시설관리사업소,195831,2021-08-08,69,2021
부산광역시 해운대구,관광시설관리사업소,208904,2021-08-09,70,2021
부산광역시 해운대구,관광시설관리사업소,205710,2021-08-10,71,2021
부산광역시 해운대구,관광시설관리사업소,201046,2021-08-11,72,2021
부산광역시 해운대구,관광시설관리사업소,199528,2021-08-12,73,2021
부산광역시 해운대구,관광시설관리사업소,199290,2021-08-13,74,2021
부산광역시 해운대구,관광시설관리사업소,204691,2021-08-14,75,2021
부산광역시 해운대구,관광시설관리사업소,211806,2021-08-15,76,2021
부산광역시 해운대구,관광시설관리사업소,68314,2021-08-16,77,2021
부산광역시 해운대구,관광시설관리사업소,61970,2021-08-17,78,2021
부산광역시 해운대구,관광시설관리사업소,54401,2021-08-18,79,2021
부산광역시 해운대구,관광시설관리사업소,54265,2021-08-19,80,2021
부산광역시 해운대구,관광시설관리사업소,55332,2021-08-20,81,2021
부산광역시 해운대구,관광시설관리사업소,57600,2021-08-21,82,2021
부산광역시 해운대구,관광시설관리사업소,51252,2021-08-22,83,2021
부산광역시 해운대구,관광시설관리사업소,31412,2021-08-23,84,2021
부산광역시 해운대구,관광시설관리사업소,22652,2021-08-24,85,2021
부산광역시 해운대구,관광시설관리사업소,23778,2021-08-25,86,2021
부산광역시 해운대구,관광시설관리사업소,23627,2021-08-26,87,2021
부산광역시 해운대구,관광시설관리사업소,29620,2021-08-27,88,2021
부산광역시 해운대구,관광시설관리사업소,28630,2021-08-28,89,2021
부산광역시 해운대구,관광시설관리사업소,32691,2021-08-29,90,2021
부산광역시 해운대구,관광시설관리사업소,31387,2021-08-30,91,2021
부산광역시 해운대구,관광시설관리사업소,26343,2021-08-31,92,2021
부산광역시 해운대구,관광시설관리사업소,49522,2022-06-02,1,2022
부산광역시 해운대구,관광시설관리사업소,41983,2022-06-03,2,2022
부산광역시 해운대구,관광시설관리사업소,51085,2022-06-04,3,2022
부산광역시 해운대구,관광시설관리사업소,73291,2022-06-05,4,2022
부산광역시 해운대구,관광시설관리사업소,52055,2022-06-06,5,2022
부산광역시 해운대구,관광시설관리사업소,45795,2022-06-07,6,2022
부산광역시 해운대구,관광시설관리사업소,32849,2022-06-08,7,2022
부산광역시 해운대구,관광시설관리사업소,34557,2022-06-09,8,2022
부산광역시 해운대구,관광시설관리사업소,37056,2022-06-10,9,2022
부산광역시 해운대구,관광시설관리사업소,43986,2022-06-11,10,2022
부산광역시 해운대구,관광시설관리사업소,58896,2022-06-12,11,2022
부산광역시 해운대구,관광시설관리사업소,45245,2022-06-13,12,2022
부산광역시 해운대구,관광시설관리사업소,31347,2022-06-14,13,2022
부산광역시 해운대구,관광시설관리사업소,29293,2022-06-15,14,2022
